,Full_OLS_RMSE_test,Full_OLS_RMSE_train,Full_RF_RMSE_test,Full_RF_RMSE_train,Proposed_OLS_RMSE_test,Proposed_OLS_RMSE_train,Proposed_RF_RMSE_test,Proposed_RF_RMSE_train,Restricted_OLS_RMSE_test,Restricted_OLS_RMSE_train,Restricted_RF_RMSE_test,Restricted_RF_RMSE_train
12,14.315877642588735,14.110785434779153,14.051344366582057,13.708705039200202,14.423205395940533,14.240304922301386,14.181858678153473,13.901857013224621,14.41824689305183,14.230043973858777,14.116934903066632,13.821411892369577
13,14.072675577707281,14.173717193778701,13.862072810622797,13.743554384897202,14.133908183662017,14.309562397478885,13.924150371733493,13.94223344256093,14.127117699641667,14.302454907502202,13.928898013331777,13.895408868928035
14,14.0622123593144,14.175631846171566,13.893420604622895,13.580460902930856,14.199871863895547,14.304744019530633,13.989653205914362,13.821937678148322,14.154367218713983,14.296678166783558,13.967084292857528,13.836729926588438
15,14.040738937430204,14.18210137987135,13.791648182062984,13.765657270225859,14.135358997247254,14.305144957546583,13.860036794240495,13.948024890067847,14.161263143442707,14.295794557244577,13.852672830569034,13.846752059282291
16,14.409516454394797,14.088581412318156,14.190823911249394,13.654513055564085,14.53002532849754,14.214448840638722,14.309112320042427,13.83649425969074,14.516312302548128,14.205197551608322,14.298467332780186,13.829305725681825
17,14.108979241206706,14.165993203842211,13.937362200671801,13.722244156029738,14.258671917420832,14.284799426042577,14.06692820917429,13.898519271727002,14.21278593702514,14.28109324021325,14.038044220810047,13.820730222592022
18,13.984314244542,14.196292918959793,13.788174278825776,13.813775603845054,14.115049559773919,14.32604084401551,13.881543348667268,14.002747985224575,14.071589016732846,14.317403431430499,13.804430810722701,13.883301683018274
19,14.451216432289877,14.077409160204336,14.264304997917579,13.645297703719821,14.592307208360978,14.200175959528437,14.375074851358333,13.814332526794802,14.56834587962983,14.191860700334486,14.374215165620015,13.727102150559997
20,14.879870441485798,13.967079949615158,14.603679095721429,13.414246357397868,15.076791383794504,14.071475716518057,14.760771076848282,13.637986394472804,15.054472938385231,14.065531873560358,14.727822279417955,13.687871073397321
21,13.889440203834807,14.21714842432537,13.758819157302849,13.569711070190404,13.998267969430975,14.34580366930841,13.848283430583178,13.813401384344573,13.989138916951674,14.336481665074283,13.81187341200454,13.892113216391243
22,14.37791093382834,14.097498711645882,14.247169589887186,13.651024543797625,14.505046105127287,14.224677190209642,14.334480731194095,13.83149928762811,14.485231619398498,14.213603698170317,14.31017068817549,13.73174829941069
23,14.25369302050727,14.127580491977843,14.066951529401084,13.534770863958444,14.364421730669548,14.260412128547305,14.168284901926436,13.78191661188371,14.332522777495162,14.251595619784599,14.13581975015675,13.77496804991009
24,13.690255188586411,14.267120609829906,13.516116893683064,13.846820154777577,13.820431071410635,14.392597527146474,13.618504136719134,14.014123489088691,13.80317286109243,14.383110000743043,13.601917303519512,13.943844172063608
25,14.190482421799741,14.143470237520884,13.940424051537569,13.707758858618103,14.316273110354327,14.262419635866424,14.067485566069687,13.88724098892671,14.31838852678907,14.255188251236058,14.039662885881462,13.837748290222388
26,14.022204597721831,14.186620638378788,13.67682691916593,13.639173880392084,14.156386079808579,14.314810277603504,13.82090315400486,13.892265662475134,14.12267552796024,14.304402677677288,13.752839192112862,13.89190115231762
27,14.387794409418392,14.094452852285674,14.178311955722878,13.686553187860602,14.485105929996058,14.231110643159226,14.252755546330212,13.864757022322811,14.460755470064685,14.219727322470963,14.241063611937987,13.775495944850322
28,14.618281060993077,14.034892311917053,14.433779947083183,13.442631214728873,14.791871357842744,14.14859957247836,14.599391425547065,13.6690996524909,14.76987081626769,14.140284115972786,14.573986351938622,13.701922931706145
29,14.051855011112538,14.179540619539873,13.910005495454302,13.733532098456154,14.125750025740745,14.318915542150322,13.981759549112734,13.933451326833582,14.111609642947105,14.307967881590459,13.973921712812084,13.838940216195248
30,14.857025821698858,13.973068533015713,14.618801644792383,13.591765202576008,14.9693095858326,14.106002967969806,14.720198477518034,13.77577906164132,14.926128240990227,14.099551481105726,14.678389744525104,13.663825085052775
31,14.448518684022138,14.079352913252432,14.287816396134513,13.64362863754299,14.518380364310627,14.216976610188993,14.362287967434257,13.838269452114098,14.504968731128562,14.208030763159815,14.3599916085926,13.723693219261845
32,14.269985895881398,14.124569466481137,14.042916849847867,13.695557571798165,14.385797810344895,14.256210631047296,14.123765151383196,13.898687092586247,14.356523410920172,14.247026866470728,14.11029054818537,13.805525330788225
33,14.295746687257958,14.11711813634108,14.034922471778376,13.70957975422847,14.379953986256762,14.254427338643156,14.137117779570794,13.89347924639507,14.360519053632833,14.244691181955066,14.11004757350274,13.804006971067356
34,14.041544840529498,14.180299531730656,13.793728671762468,13.758548568907761,14.173905686275717,14.305114508627938,13.912808510670244,13.942713471974347,14.162170358749309,14.294205659140204,13.89280528814573,13.849667848040392
35,13.996654169911698,14.192760112493055,13.779893397334295,13.758883252831598,14.083426620320592,14.326002230953934,13.850336339518392,13.944542097917713,14.075511108442326,14.316495096949211,13.846917342495821,13.86301354790686
36,14.029934028545375,14.184296089518966,13.688443899876566,13.785789556286566,14.154031964240659,14.31418059992923,13.808968848224357,13.98239708547809,14.122229893612227,14.304858867137197,13.793297918044049,13.865315794356604
37,14.082823499313937,14.169504853981962,13.785556868860368,13.596567381149343,14.237298259666904,14.287352440484819,13.924208224386332,13.83884110650659,14.215437298863673,14.280759980530215,13.891212083632048,13.848172177485061
38,14.477147080495055,14.071792455496084,14.263305302754613,13.639396378762102,14.64520533363061,14.185854712439186,14.400683102920137,13.807572981227604,14.631201741776055,14.176706853936981,14.37474821732365,13.693695241636322
39,13.934941353500806,14.206899727544045,13.691819187028335,13.815487946863124,14.077188708150555,14.323924262915332,13.799910351832606,13.968856913166444,14.077345624983714,14.314981318192931,13.801726370330696,13.694346358881543
40,14.39658651816285,14.091626895688352,14.171607598240067,13.660702768109282,14.443164444384914,14.234982545027277,14.192812536552655,13.865563102913052,14.441659330182393,14.224419178646361,14.199544232823428,13.781966462995488
41,13.684385259309169,14.267607328369557,13.560150077914264,13.66254472547073,13.777117131843577,14.401810730684579,13.61332974089674,13.921336579449452,13.76815766929939,14.390152846997006,13.601004944495736,13.921311384913833
42,14.456976712664975,14.075028111920561,14.23418731973723,13.654327561837754,14.541496735963959,14.21100895346368,14.314331033474614,13.860300488800567,14.528235115122005,14.201411082387029,14.292062486735583,13.756221968426843
43,13.7704693881573,14.24933603637589,13.59408514188167,13.839032069702448,13.83488368710435,14.386081639597666,13.617978053944228,14.04721456277529,13.838281746380304,14.374293719705248,13.603824567118206,13.9395564186587
44,14.201929440431098,14.142115618741718,13.946552175992712,13.671687584990604,14.30061971692783,14.27812266871064,14.040203181464562,13.868412067216122,14.279477082213647,14.266345854072844,14.034329765597036,13.77855617728245
45,13.977375327337958,14.197706863575153,13.620603960436153,13.640236640793537,14.086103451132743,14.31758983398695,13.767286821481306,13.87805593315115,14.103211277807816,14.310476552249808,13.733323243490455,13.902523780788131
46,14.08275689436386,14.170968721309315,13.887227410340685,13.59261521623535,14.152537800683554,14.309090960725856,13.940909015853734,13.838184761967089,14.152606058864796,14.29634191982848,13.933245098380604,13.800275493838862
47,14.867403076861745,13.969498076290233,14.642364348171409,13.544327893290246,14.95683154351491,14.10314489594072,14.730588743902517,13.725939959240478,14.936399400305929,14.095600885755053,14.725846676226107,13.645917020594268
48,13.627783684419132,14.281731555631245,13.36461321389106,13.855743367763214,13.682893200507989,14.425872431074007,13.434266938696085,14.069074495025127,13.66641257605972,14.41472115583183,13.403216700377644,13.97159944631552
49,14.20172180406295,14.140705541421394,13.979333690039654,13.71899891364196,14.326256998076714,14.258973182695454,14.08127625779694,13.894121715161955,14.337661668433668,14.250994116082996,14.111476429566416,13.85432684044628
