,Full_OLS_RMSE_test,Full_OLS_RMSE_train,Full_RF_RMSE_test,Full_RF_RMSE_train,Proposed_OLS_RMSE_test,Proposed_OLS_RMSE_train,Proposed_RF_RMSE_test,Proposed_RF_RMSE_train,Restricted_OLS_RMSE_test,Restricted_OLS_RMSE_train,Restricted_RF_RMSE_test,Restricted_RF_RMSE_train
14,11.35636091544359,11.401191225866732,11.26003570132754,11.1015886055887,11.3610242152482,11.402464433316903,11.253050234410983,11.153333140547383,11.36105051636829,11.402733970865365,11.255558053139751,11.196493645665855
15,11.31940428104468,11.410430886415105,11.198295951081198,11.191936474014575,11.323239665088396,11.411867869220053,11.207133539186652,11.213287280035978,11.323676260871046,11.412119296843311,11.212239429469289,11.20486239444988
16,11.362596655796784,11.399756263646957,11.246337155010464,11.109254426366343,11.36590966543765,11.401423721348262,11.24676333326846,11.155656302796475,11.363163271465671,11.402222196752762,11.247553666939666,11.21277808055423
17,11.615986999814613,11.33558540325158,11.508981789543052,11.10475749658066,11.61773631437185,11.337744815299063,11.5234872801301,11.135582780068399,11.615561351878128,11.338402720022232,11.521576880743952,11.129398553046169
18,11.702018292746152,11.313792999482441,11.570993773143279,11.026383331467493,11.704549958743023,11.31571991195832,11.582516663521774,11.067061887885762,11.70218949115882,11.316442144071067,11.59195555702372,11.134557665074114
19,11.469644994056695,11.372780667680052,11.373328210922404,11.076062944875902,11.473274392657212,11.374306746282983,11.367986070659592,11.122780004510572,11.473946672634536,11.374459453955602,11.37192972923795,11.165363978021245
20,11.496516564952994,11.366370031113844,11.424636345765789,11.059950810094834,11.49578788603137,11.369037326003443,11.41933458177642,11.114307029969325,11.495952423091575,11.369013941910431,11.418011328984282,11.122564198519656
21,11.386065553072852,11.393669290792865,11.280800298715857,11.095277670988649,11.387903266485122,11.395704624374199,11.290610611190788,11.142063468696678,11.387619169387834,11.396068550896054,11.293033310280345,11.195090696385218
22,11.293740395544756,11.41674233502183,11.248276322666749,11.110521449941853,11.293874495779493,11.419233541936359,11.243512327022486,11.162540292629512,11.294169596237374,11.419397136659224,11.254949450757898,11.125990244731138
23,11.730614098595105,11.306395134176453,11.636514659687231,11.007730088754505,11.73263692306282,11.308514936761526,11.638649299815436,11.053731780551493,11.732614005358155,11.308706875191548,11.63939787431866,11.099277989563848
24,11.43016372477916,11.382668873894872,11.315909410315191,11.096723645001168,11.432403844070265,11.384557400581672,11.334633354540276,11.13576915008495,11.432433710003687,11.384904140629011,11.332042341878854,11.17619064276949
25,11.085421330736407,11.46750517028338,11.004904571721445,11.164451582994936,11.08581998378004,11.46985253170196,11.016134782090372,11.204937977220018,11.086680550936741,11.469903495365811,11.027173461402612,11.227299146878089
26,11.647217903155916,11.328074595579828,11.520838054576805,11.044556281555597,11.650120500997275,11.329882447248556,11.531907844393485,11.089051612140723,11.648135226151204,11.330555006651057,11.535757559171616,11.129460468638866
27,11.535591876777165,11.356155600375605,11.44066439185258,11.056377426343325,11.538272765464683,11.357988133520893,11.445800188111711,11.103736450930112,11.538493633372202,11.358226022947031,11.453854325603883,11.156884911445122
28,11.283499091679472,11.419723435900627,11.19721214978674,11.123523188927148,11.284747570465395,11.421980855293937,11.19776956067279,11.16911196678043,11.28502110199785,11.421985125724609,11.2033362114816,11.222058689944397
29,11.245132867903147,11.428808510124165,11.157538785042064,11.129915789245464,11.246132281883677,11.431086560002305,11.159211591846294,11.175859762392786,11.244317349189558,11.431709524090856,11.167160399159847,11.228809392023516
30,11.469349536507597,11.372773980766818,11.371471370168408,11.170628821298635,11.469269174879292,11.375277728315979,11.379159049959322,11.197955130648504,11.468989163227278,11.37563080960405,11.372253371965842,11.163704487105347
31,11.23457260102843,11.431200442958797,11.171550207847586,11.125232237109534,11.235992312308491,11.433344855992305,11.177757585579077,11.171571165134727,11.236378719163369,11.433551819231644,11.181338888379234,11.179299278987969
32,11.164770546237325,11.44857762761111,11.087262978382602,11.142547419435946,11.163416120170874,11.451210822691799,11.09276205369597,11.187658821216534,11.163905730931019,11.451522608351105,11.094666918457982,11.23152840106862
33,11.479099543121961,11.370637060605901,11.359939348805291,11.07848227538887,11.482908417098603,11.372048545234389,11.372122518938882,11.122422466748334,11.483851501556673,11.372119822977085,11.37896295206377,11.12899202425039
34,11.328018486510453,11.408225360996594,11.272515721542907,11.099314443323756,11.329737845020508,11.410347438337283,11.273853706028119,11.145463389332368,11.329238058390084,11.410717508178882,11.278575479797478,11.155121254364097
35,11.323294544774567,11.409435451252376,11.223572453587506,11.190560526418436,11.326866222363064,11.411003905180467,11.23456738345829,11.214495656689968,11.327558610665648,11.411028547830002,11.231813720155598,11.20268726173677
36,11.421379904441114,11.385786842653504,11.325844626854531,11.089219257448047,11.421624231159015,11.388415420459046,11.331433486947006,11.13008503129442,11.421307532270966,11.388527685651175,11.35920760173254,11.1462063063644
37,11.289114817266181,11.418595652545296,11.211568773107349,11.117582696849656,11.287482943459946,11.421391436217148,11.223152249619677,11.160218321029086,11.287933141943713,11.42159043535963,11.227921510681277,11.178666806452574
38,11.322936941173557,11.409504103383709,11.233750732709664,11.109149564305854,11.324172807188996,11.41172639627881,11.24669705422809,11.15330354032821,11.324167255750828,11.4119916559164,11.238928004073083,11.176563707019907
39,11.49295950702952,11.367233332603925,11.391701155179456,11.071282829764197,11.491005945602966,11.370201580740858,11.39368633497973,11.119244775082723,11.487978137200914,11.371001788288762,11.3950414641033,11.158566413840921
40,11.131034238214914,11.456547933460335,11.02132434450131,11.233468273263265,11.133574976114982,11.458360820786073,11.0265513744312,11.25739278990136,11.133035170511972,11.458802161074157,11.03239905495888,11.258468773278842
41,11.084888916926133,11.46810833460924,10.994322678446208,11.13948527720764,11.089814959495893,11.469222386512284,11.002617149178192,11.184752316041203,11.090393856265303,11.469412177756322,10.997635478140566,11.232558203071301
42,11.355003015332704,11.401746461754351,11.251951167674688,11.14971593017578,11.356127942161104,11.40392509928372,11.261934516998616,11.181253707258898,11.356988565064162,11.403999833345646,11.269607214130382,11.170512831411765
43,11.327927521456473,11.408496074824699,11.242899360923708,11.105597584737781,11.328910048765689,11.410650757006167,11.240312982050266,11.157127714353864,11.329706913827895,11.410854269248995,11.237338923788768,11.195639453621625
44,11.561963476133842,11.349440876870286,11.454821060512037,11.054223956846535,11.564351492632222,11.351353629512758,11.46903835460107,11.094147897620111,11.564493878333218,11.351610142616646,11.462384286871952,11.140788849318096
45,11.397549433360044,11.390741207950077,11.276392221281437,11.10115992597371,11.39679390651236,11.393400701502145,11.289963323434772,11.142743684159353,11.397157240712666,11.393591848030036,11.291677195360766,11.18479348620382
46,11.664120064028005,11.323375951465419,11.54089635434366,11.032644208033844,11.667518632894987,11.324895192442725,11.545153879469998,11.076638653412902,11.668505013046056,11.324976775968215,11.557259258225555,11.09442924506474
47,11.401629021391267,11.389896805545037,11.28699517656462,11.09502327190487,11.40554180798964,11.391365066309667,11.297132533665728,11.14131795742105,11.405537096884313,11.391673027209563,11.297285602170929,11.202056059113815
48,11.488187571465492,11.368109160451787,11.398489847618604,11.066575500564566,11.48847911438202,11.370587119224963,11.3958854304786,11.113728702014816,11.488196084101723,11.37089781210068,11.406453616341638,11.155292326347421
49,11.303163221948791,11.414484804739457,11.248577527161721,11.10755033976633,11.304652446874712,11.416648683503324,11.25124394551782,11.155142222749598,11.305114987237607,11.416786540510637,11.252997587302536,11.20923599472305
